id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
1,Bitcoin,BTC,bitcoin,11783,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19771528.0,19771528.0,False,,1,,,,2024-10-22T21:17:00.000Z,67400.57757683533,32190715506.235096,-19.948,-0.1072191,-0.61301844,1.61610427,6.48934995,5.5942572,2.5121753,1332612406776.572,57.302,1415412129113.54,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
1027,Ethereum,ETH,ethereum,9438,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120392960.0277458,120392960.0277458,True,,2,,,,2024-10-22T21:17:00.000Z,2631.4856566100893,15498725975.052885,-20.6639,0.13374222,-1.69240648,2.19567638,2.11403349,-4.68836729,-21.36717176,316812347469.8449,13.6229,316812347469.84,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
825,Tether USDt,USDT,tether,100901,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120219543500.33812,121337937370.43233,True,,3,,,,2024-10-22T21:17:00.000Z,0.9993580682683312,59152217870.02814,-17.4088,-0.00111542,-0.03832349,-0.05344841,-0.10414662,-0.17505013,-0.06984553,120142370760.59851,5.165,121260046698.18,,2024-10-22T21:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-22 17:18:37.350001
1839,BNB,BNB,bnb,2266,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931385.51216784,145931385.51216784,False,,4,,,,2024-10-22T21:17:00.000Z,594.9518730607996,1739311483.5494132,-12.3057,0.1013714,-0.88464203,1.05323318,1.14041587,1.09461342,2.81165281,86822151148.82188,3.732,86822151148.82,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
5426,Solana,SOL,solana,768,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470005016.21479666,586982129.7546068,True,,5,,,,2024-10-22T21:17:00.000Z,167.50513124054342,3511219327.25325,-18.7423,-0.49669303,-0.09544389,9.59537258,15.73639002,10.90359495,-5.84627206,78728251924.77325,3.3841,98322518680.4,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
3408,USDC,USDC,usd-coin,22592,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34593080612.05657,34593080612.05657,False,,6,,,,2024-10-22T21:17:00.000Z,0.9998963553437983,6434347362.885863,-11.3102,0.00604278,-0.0177025,-0.01959345,-0.0377677,-0.0348334,-0.00713953,34589495224.10957,1.487,34589495224.11,,2024-10-22T21:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-22 17:18:37.350001
52,XRP,XRP,xrp,1407,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56706436160.0,99987115141.0,False,,7,,,,2024-10-22T21:17:00.000Z,0.5323943375214428,1080470777.2141328,-20.8102,-0.2319388,-2.6583786,-1.30690899,-9.87239568,-12.76053857,-14.34367877,30190185512.60519,1.2982,53239433752.14,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
74,Dogecoin,DOGE,dogecoin,1084,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146477586383.70523,146477586383.70523,True,,8,,,,2024-10-22T21:17:00.000Z,0.140057084425789,1652353582.273667,-22.6705,0.25171468,-3.07846944,23.71354102,31.51178169,23.8923414,8.26927709,20515223682.628407,0.8821,20515223682.63,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
1958,TRON,TRX,tron,1054,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86505194142.49905,86505197268.00348,True,,9,71659659264.0,11487358647.372387,,2024-10-22T21:17:00.000Z,0.16030439950952077,306400929.2691695,-6.6815,-0.06074068,1.07626577,1.06329586,5.62758005,1.42332516,19.42991244,13867163201.467825,0.5963,13867163702.5,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
11419,Toncoin,TON,toncoin,583,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539547384.5917077,5113679894.794545,True,,10,3414166606.0,17847768621.673817,,2024-10-22T21:17:00.000Z,5.227562295966589,173452221.2966503,-10.715,0.08811693,-0.05291367,1.33954669,-6.67825882,-22.86373694,-24.35001063,13275642156.512173,0.5708,26732080211.67,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
2010,Cardano,ADA,cardano,1273,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34980974699.72432,44995121858.387505,False,,11,,,,2024-10-22T21:17:00.000Z,0.36264775058897675,305237613.3321795,-2.0857,-0.29237832,-0.51128199,2.75027341,3.2519855,-6.63736089,-11.89845686,12685771788.26493,0.5455,16319148776.5,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
5805,Avalanche,AVAX,avalanche,790,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,406960578.56850165,446963678.56850165,False,,12,,,,2024-10-22T21:17:00.000Z,27.64247798599438,291551241.715116,-9.3645,0.10858478,-1.17257592,-0.77606296,1.43426829,3.3727851,-3.74183617,11249398834.247343,0.4836,19785068208.46,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
5994,Shiba Inu,SHIB,shiba-inu,888,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589267073005518.5,589518337874090.8,False,,13,,,,2024-10-22T21:17:00.000Z,1.8182279968626786e-05,269349368.30539656,-35.8557,-0.26173302,-2.01287566,1.89732419,24.71005543,20.19445861,7.03064808,10714218897.679577,0.4607,10718787465.87,,2024-10-22T21:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-10-22 17:18:37.350001
1975,Chainlink,LINK,chainlink,1861,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-10-22T21:17:00.000Z,11.961431498443995,331476516.47888166,49.413,-0.21820797,1.32112827,6.83832137,8.12343252,-0.57156968,-11.20961379,7498022981.37265,0.3223,11961431498.44,,2024-10-22T21:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-10-22 17:18:37.350001
1831,Bitcoin Cash,BCH,bitcoin-cash,935,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19777893.75,19777893.75,False,,15,,,,2024-10-22T21:17:00.000Z,357.1603863572118,216331249.53828004,-21.3134,0.04845339,-2.1310453,1.90024719,4.77157378,-1.86397912,-1.66529802,7063880173.081884,0.3037,7500368113.5,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
1,Bitcoin,BTC,bitcoin,11783,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19771528.0,19771528.0,False,,1,,,,2024-10-22T21:17:00.000Z,67400.57757683533,32190715506.235096,-19.948,-0.1072191,-0.61301844,1.61610427,6.48934995,5.5942572,2.5121753,1332612406776.572,57.302,1415412129113.54,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
1027,Ethereum,ETH,ethereum,9438,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120392960.0277458,120392960.0277458,True,,2,,,,2024-10-22T21:17:00.000Z,2631.4856566100893,15498725975.052885,-20.6639,0.13374222,-1.69240648,2.19567638,2.11403349,-4.68836729,-21.36717176,316812347469.8449,13.6229,316812347469.84,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
825,Tether USDt,USDT,tether,100901,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120219543500.33812,121337937370.43233,True,,3,,,,2024-10-22T21:17:00.000Z,0.9993580682683312,59152217870.02814,-17.4088,-0.00111542,-0.03832349,-0.05344841,-0.10414662,-0.17505013,-0.06984553,120142370760.59851,5.165,121260046698.18,,2024-10-22T21:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-22 17:18:37.350001
1839,BNB,BNB,bnb,2266,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931385.51216784,145931385.51216784,False,,4,,,,2024-10-22T21:17:00.000Z,594.9518730607996,1739311483.5494132,-12.3057,0.1013714,-0.88464203,1.05323318,1.14041587,1.09461342,2.81165281,86822151148.82188,3.732,86822151148.82,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
5426,Solana,SOL,solana,768,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470005016.21479666,586982129.7546068,True,,5,,,,2024-10-22T21:17:00.000Z,167.50513124054342,3511219327.25325,-18.7423,-0.49669303,-0.09544389,9.59537258,15.73639002,10.90359495,-5.84627206,78728251924.77325,3.3841,98322518680.4,,2024-10-22T21:17:00.000Z,,,,,,2024-10-22 17:18:37.350001
